City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,fort bragg,35.139,-79.006,92.91,68,75,6.91,US,1689804258
299,willmar,45.1219,-95.0433,87.82,40,40,11.5,US,1689804258
300,nguigmi,14.2495,13.1092,92.35,36,21,9.6,NE,1689804258
301,farebersviller,49.12,6.872,63.91,78,98,4.18,FR,1689804148
302,yardimli,38.9206,48.2372,62.65,79,26,3.91,AZ,1689804140
303,silale,55.4906,22.1814,49.8,93,12,4.79,LT,1689804017
304,sawmills,35.8248,-81.4745,85.55,67,20,5.75,US,1689804157
305,pont rouge,48.8833,-72.0825,65.43,67,75,12.26,CA,1689804259
306,swan hill,-35.3378,143.5544,42.35,66,97,12.08,AU,1689804259
307,baotou,40.6522,109.8222,74.98,33,44,5.23,CN,1689804117
308,copala,16.65,-98.9833,88.61,62,8,10.85,MX,1689804259
309,jayapura,-2.5333,140.7,78.19,92,97,4.97,ID,1689804259
310,samarinda,-0.5,117.15,73.26,100,86,2.82,ID,1689804259
311,xilin hot,43.9667,116.0333,65.75,81,13,5.23,CN,1689804259
312,brooks,50.5834,-111.8851,81.5,23,3,9.91,CA,1689804260
313,san sebastian de la gomera,28.0916,-17.1133,75.56,83,40,8.05,ES,1689804260
314,pariaman,-0.619,100.12,76.21,90,99,4.54,ID,1689804260
315,katima mulilo,-17.5,24.2667,55.89,34,0,5.95,NA,1689804260
316,mancio lima,-7.6142,-72.8958,75.09,93,90,2.57,BR,1689804260
317,berdigestyakh,62.0989,126.6992,51.51,95,100,2.66,RU,1689804260
318,hithadhoo,-0.6,73.0833,81.88,77,69,13.98,MV,1689804260
319,dhidhdhoo,6.8833,73.1,82.58,78,100,16.04,MV,1689804016
320,grand baie,-20.0182,57.5802,74.44,71,74,3.0,MU,1689804260
321,carutapera,-1.195,-46.02,75.76,93,21,6.67,BR,1689804261
322,gamay,12.3854,125.2979,76.6,93,97,3.78,PH,1689804261
323,kerikeri,-35.2268,173.9474,57.9,94,99,5.01,NZ,1689804261
324,luanda,-8.8368,13.2343,69.8,88,75,1.14,AO,1689804261
325,leticia,-4.2153,-69.9406,75.25,94,20,3.44,CO,1689804261
326,turpan,42.9333,89.1667,95.67,14,25,6.2,CN,1689804090
327,ridgecrest,35.6225,-117.6709,109.02,12,20,3.44,US,1689804261
328,buka,40.8108,69.1986,71.87,38,0,5.73,UZ,1689804261
329,broken hill,-31.95,141.4333,48.49,52,2,17.74,AU,1689804262
330,puerto deseado,-47.7503,-65.8938,41.67,71,85,10.02,AR,1689804126
331,caconda,-13.7333,15.0667,54.59,43,0,3.69,AO,1689804262
332,hitzacker,53.1525,11.0442,55.69,97,91,6.44,DE,1689804262
333,mount gambier,-37.8333,140.7667,48.9,70,98,15.9,AU,1689804262
334,tympaki,35.0729,24.7685,83.77,49,0,3.0,GR,1689804262
335,yuzhno-kurilsk,44.0306,145.8556,58.66,93,100,4.68,RU,1689804013
336,dunoon,55.947,-4.923,55.31,81,3,7.02,GB,1689804262
337,batouri,4.4333,14.3667,69.4,97,100,2.68,CM,1689804262
338,borgarnes,64.5383,-21.9206,54.81,75,95,4.03,IS,1689804263
339,huadian,42.9633,126.7478,69.46,93,10,2.57,CN,1689804037
340,ilomantsi,62.6716,30.9328,53.2,91,100,4.94,FI,1689804263
341,pocone,-16.2567,-56.6228,79.21,43,21,4.14,BR,1689804263
342,port-gentil,-0.7193,8.7815,73.15,90,100,12.59,GA,1689804066
343,cabedelo,-6.9811,-34.8339,77.67,79,6,16.89,BR,1689804263
344,firuzabad,28.8438,52.5707,82.17,15,0,4.99,IR,1689804263
345,sabha,27.0377,14.4283,86.18,22,0,4.21,LY,1689804263
346,minas de marcona,-15.2119,-75.1103,60.87,69,2,9.51,PE,1689804263
347,shizunai-furukawacho,42.3339,142.3669,67.14,90,52,2.1,JP,1689804264
348,zabid,14.1951,43.3152,91.6,39,61,9.08,YE,1689804264
349,kantagi,43.5264,68.5775,75.15,31,0,8.46,KZ,1689804264
350,madalena,41.2162,-8.3345,64.76,87,0,3.69,PT,1689804264
351,sibi,29.5448,67.8764,99.34,36,50,2.84,PK,1689804264
352,vostochnyy,55.8167,37.8667,57.13,76,75,11.01,RU,1689804264
353,dongxi,28.7614,106.6611,73.06,95,94,3.56,CN,1689804264
354,maqat,47.65,53.3167,82.78,40,86,13.82,KZ,1689804264
355,dompu,-8.5356,118.4622,69.8,95,16,2.24,ID,1689804265
356,basoko,1.2391,23.616,72.28,94,79,3.87,CD,1689804265
357,selfoss,63.9331,-20.9971,53.04,69,67,8.72,IS,1689804265
358,leninskoye,41.7589,69.3864,74.08,35,23,7.85,KZ,1689804265
359,solwezi,-12.1688,26.3894,57.27,48,0,3.65,ZM,1689804265
360,kingston,17.997,-76.7936,92.25,56,100,1.99,JM,1689804028
361,bonnyville,54.2668,-110.735,72.88,56,16,6.8,CA,1689804265
